id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
179,2010,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,Royal Challengers Bangalore,0,1,RG Sharma
180,2010,Wankhede,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,9,RG Sharma
181,2010,Arun,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,43,0,HH Pandya
182,2010,Sawai,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,0,6,B Kumar
183,2011,Narendra,Narendra Modi Stadium,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,0,2,Harbhajan Singh
184,2011,Arun,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,0,5,SK Raina
185,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,0,7,DA Warner
186,2011,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,78,0,MS Dhoni
187,2011,Eden,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,78,0,AM Rahane
188,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,0,7,KL Rahul
189,2011,MA,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,0,9,DJ Bravo
190,2011,Arun,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,0,8,MS Dhoni
191,2011,MA,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,0,2,B Kumar
192,2011,Narendra,Narendra Modi Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,23,0,AB de Villiers
193,2011,Eden,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,47,0,HH Pandya
194,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Gujarat Titans,0,8,SP Narine
195,2011,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,58,0,MS Dhoni
196,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,field,Royal Challengers Bangalore,16,0,SK Raina
197,2011,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,2,YS Chahal
198,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,Delhi Capitals,65,0,SK Raina
199,2011,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,Sunrisers Hyderabad,11,0,YS Chahal
200,2011,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,0,5,HH Pandya
201,2011,Arun,Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,21,0,SL Malinga
202,2011,Eden,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,MS Dhoni
203,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Sunrisers Hyderabad,0,2,KL Rahul
204,2011,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,7,SP Narine
205,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,0,9,M Shami
206,2011,Arun,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Delhi Capitals,0,9,CH Gayle
207,2011,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Lucknow Super Giants,0,8,Rashid Khan
208,2011,MA,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,0,7,G Gambhir
209,2011,Wankhede,Wankhede Stadium,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,0,2,DJ Bravo
210,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,51,0,Harbhajan Singh
211,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,9,RG Sharma
212,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,78,0,A Mishra
213,2011,M,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6,SL Malinga
214,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,0,5,SR Watson
215,2011,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,68,0,SP Narine
216,2011,Eden,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,0,6,S Dhawan
217,2011,Sawai,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,18,0,JJ Bumrah
218,2011,Narendra,Narendra Modi Stadium,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,59,0,JJ Bumrah
219,2011,Arun,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,9,RR Pant
220,2011,Eden,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,0,9,AB de Villiers
221,2011,Narendra,Narendra Modi Stadium,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,Gujarat Titans,0,6,RG Sharma
222,2011,MA,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,0,8,SP Narine
223,2011,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,Gujarat Titans,32,0,YS Chahal
224,2011,Eden,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,2,Harbhajan Singh
225,2011,Sawai,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,37,0,YS Chahal
226,2011,Wankhede,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,23,0,RG Sharma
227,2011,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,0,1,PP Chawla
228,2011,MA,MA Chidambaram Stadium,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,3,CH Gayle
229,2011,MA,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,0,3,HH Pandya
230,2011,Arun,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,7,G Gambhir
231,2011,MA,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,1,0,KL Rahul
232,2011,Arun,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,34,0,RG Sharma
233,2011,Punjab,Punjab Cricket Association Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,0,2,A Mishra
234,2011,Eden,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,0,6,DJ Bravo
235,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,68,0,DA Warner
236,2011,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,Chennai Super Kings,74,0,AT Rayudu
237,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,2,KA Pollard
238,2011,Narendra,Narendra Modi Stadium,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Royal Challengers Bangalore,72,0,R Ashwin
239,2011,Sawai,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,75,0,S Dhawan
240,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,61,0,S Dhawan
241,2011,BRSABV,BRSABV Ekana Cricket Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,0,8,DA Warner
242,2011,M,M Chinnaswamy Stadium,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Gujarat Titans,0,9,SP Narine
243,2011,BRSABV,BRSABV Ekana Cricket Stadium,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,Mumbai Indians,0,9,KL Rahul
244,2011,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,5,0,KL Rahul
245,2011,Eden,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,1,G Gambhir
246,2011,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,18,0,SP Narine
247,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,Lucknow Super Giants,67,0,RR Pant
248,2011,Arun,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0,9,AM Rahane
249,2011,Narendra,Narendra Modi Stadium,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,0,3,SK Raina
250,2011,Narendra,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,3,Harbhajan Singh
251,2011,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,Rajasthan Royals,0,4,KA Pollard
252,2011,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,1,HH Pandya
253,2012,Eden,Eden Gardens,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Gujarat Titans,0,5,CH Gayle
254,2012,MA,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,51,0,DJ Bravo
255,2012,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,5,DJ Bravo
256,2012,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,0,6,AT Rayudu
257,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,34,0,MS Dhoni
258,2012,Eden,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,64,0,DJ Bravo
259,2012,BRSABV,BRSABV Ekana Cricket Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,0,3,SK Raina
260,2012,Narendra,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Mumbai Indians,7,0,MS Dhoni
261,2012,Eden,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,JJ Bumrah
262,2012,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,0,1,Harbhajan Singh
263,2012,Wankhede,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,14,0,KL Rahul
264,2012,Narendra,Narendra Modi Stadium,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,Gujarat Titans,0,7,G Gambhir
265,2012,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,5,0,G Gambhir
266,2012,Narendra,Narendra Modi Stadium,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,22,0,Rashid Khan
267,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,30,0,SR Watson
268,2012,MA,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,23,0,CH Gayle
269,2012,M,M Chinnaswamy Stadium,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Royal Challengers Bangalore,0,3,JJ Bumrah
270,2012,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,11,0,AB de Villiers
271,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0,6,HH Pandya
272,2012,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,0,7,DA Warner
273,2012,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,Delhi Capitals,35,0,B Kumar
274,2012,Sawai,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,1,0,AM Rahane
275,2012,Arun,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Delhi Capitals,0,8,V Kohli
276,2012,MA,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,0,7,S Dhawan
277,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,49,0,SR Watson
278,2012,BRSABV,BRSABV Ekana Cricket Stadium,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,56,0,RR Pant
279,2012,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,64,0,AB de Villiers
280,2012,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,7,AT Rayudu
281,2012,M,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Rajasthan Royals,62,0,G Gambhir
282,2012,Arun,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,42,0,SP Narine
283,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,76,0,R Ashwin
284,2012,Eden,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,53,0,YS Chahal
285,2012,Eden,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,0,7,A Mishra
286,2012,Sawai,Sawai Mansingh Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,0,9,DJ Bravo
287,2012,Eden,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,73,0,HH Pandya
288,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,66,0,AM Rahane
289,2012,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,62,0,S Dhawan
290,2012,MA,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Chennai Super Kings,0,8,AM Rahane
291,2012,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,0,6,RG Sharma
292,2012,Wankhede,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,32,0,AT Rayudu
293,2012,Sawai,Sawai Mansingh Stadium,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,0,3,G Gambhir
294,2012,Eden,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,0,1,SR Watson
295,2012,MA,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Chennai Super Kings,59,0,JJ Bumrah
296,2012,Narendra,Narendra Modi Stadium,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,0,2,Rashid Khan
297,2012,M,M Chinnaswamy Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,18,0,KL Rahul
298,2012,Arun,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,66,0,A Mishra
299,2012,Sawai,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,72,0,RR Pant
300,2012,BRSABV,BRSABV Ekana Cricket Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,Lucknow Super Giants,46,0,MS Dhoni
301,2012,Sawai,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,0,7,SK Raina
302,2012,MA,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,0,4,DJ Bravo
303,2012,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,bat,Punjab Kings,0,9,DJ Bravo
304,2012,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,32,0,KA Pollard
305,2012,Arun,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,31,0,Rashid Khan
306,2012,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,field,Rajasthan Royals,27,0,Harbhajan Singh
307,2012,Arun,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,Gujarat Titans,bat,Delhi Capitals,0,5,MS Dhoni
308,2012,Wankhede,Wankhede Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,17,0,B Kumar
309,2012,Eden,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,DA Warner
310,2012,Sawai,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,8,PP Chawla
311,2012,MA,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,2,S Dhawan
312,2012,Punjab,Punjab Cricket Association Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,HH Pandya
313,2012,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,1,KA Pollard
314,2012,Wankhede,Wankhede Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Punjab Kings,39,0,DA Warner
315,2012,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,7,0,R Ashwin
316,2012,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,28,0,MS Dhoni
317,2012,Eden,Eden Gardens,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,Lucknow Super Giants,0,2,SL Malinga
318,2012,Eden,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,14,0,M Shami
319,2012,M,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,19,0,A Mishra
320,2012,Punjab,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,53,0,DA Warner
321,2012,MA,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6,HH Pandya
322,2012,Eden,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,71,0,Rashid Khan
323,2012,Arun,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,0,1,G Gambhir
324,2012,Eden,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,68,0,AT Rayudu
325,2012,Sawai,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,61,0,PP Chawla
326,2013,Wankhede,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,51,0,S Dhawan
327,2013,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,0,2,Harbhajan Singh
328,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,4,DA Warner
329,2013,MA,MA Chidambaram Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,40,0,V Kohli
330,2013,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0,9,AM Rahane
331,2013,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,43,0,DJ Bravo
332,2013,MA,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,0,1,AM Rahane
333,2013,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,30,0,Rashid Khan
334,2013,Wankhede,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,0,3,Harbhajan Singh
335,2013,Eden,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0,5,AB de Villiers
336,2013,Narendra,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Gujarat Titans,52,0,Rashid Khan
337,2013,BRSABV,BRSABV Ekana Cricket Stadium,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,bat,Delhi Capitals,0,1,RR Pant
338,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Delhi Capitals,0,4,V Kohli
339,2013,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,43,0,Rashid Khan
340,2013,Arun,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,54,0,MS Dhoni
341,2013,Arun,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,6,PP Chawla
342,2013,MA,MA Chidambaram Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Chennai Super Kings,0,2,JJ Bumrah
343,2013,Eden,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,7,KA Pollard
344,2013,Arun,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,75,0,AB de Villiers
345,2013,Punjab,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Royal Challengers Bangalore,69,0,KA Pollard
346,2013,Punjab,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Punjab Kings,21,0,CH Gayle
347,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,0,7,SR Watson
348,2013,Wankhede,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,13,0,HH Pandya
349,2013,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,17,0,AM Rahane
350,2013,MA,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,26,0,DA Warner
351,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,22,0,SL Malinga
352,2013,Sawai,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,24,0,KA Pollard
353,2013,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0,7,DA Warner
354,2013,Arun,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,70,0,HH Pandya
355,2013,Punjab,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Sunrisers Hyderabad,0,7,V Kohli
